Volume: 752cc (cm3),Volume: 752cc (cm3),Volume: 752cc (cm3),Volume: 784.1cc (cm3),Volume: 573cc (cm3),Volume: 574.7cc (cm3),Volume: 543cc (cm3),Volume: 596.7cc (cm3),Volume: 528cc (cm3),Volume: 490.9cc (cm3),Volume: 534.1cc (cm3),Volume: 534.1cc (cm3)
,,,,,,,,,,,
Material: 300gFBB+G flute,Material: 300gFBB+G flute,Material: 300g FBB + G flute,Material: 300g FBB + Corrugated Board,Material: 69.6% Folding boxboard + 31.4% Flute paper board,Material: Corrugated board + PET Plastic,Material: Corrugated board +plastic PET,Material: Corrugated board,Material: 250g CCNB+G flute,Material: G-flute,Material: Corrugated board,Material: Corrugated board
,,,,,,,,,,,
Environmental features,Environmental features,Environmental features,Environmental features,Environmental features,Environmental features,Environmental features,Environmental features,Environmental features,Environmental features,Environmental features,Environmental features
,,,,,,,,,,,
Materials and substances:,Materials and substances:,Materials and substances:,Materials and substances:,Materials and substances:,Materials and substances:,Materials and substances:,Materials and substances:,Materials and substances:,Materials and substances:,Materials and substances:,Materials and substances:
,,,,,,,,,,,
"Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017","Free of brominated and chlorinated compounds and antimony trioxide, as defined in Nokia Substance List 2017"
Free of PVC,Free of PVC,Free of PVC,Free of PVC,Free of PVC,Free of PVC,Free of PVC,Free of PVC,Free of PVC,Free of PVC,Free of PVC,Free of PVC
Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface,Free of nickel on the product surface
,,,,,,,,,,,
Packaging:,Packaging:,Packaging:,Packaging:,Packaging:,Packaging:,Packaging:,Packaging:,Packaging:,Packaging:,Packaging:,Packaging:
,,,,,,,,,,,
Made of renewable material,Made of renewable material,Made of renewable material,Made of renewable material,Made of renewable material,Made of renewable material,Made of renewable material,Made of renewable material,Made of renewable material,Made of renewable material,Made of renewable material,Made of renewable material
Contains 32% recycled material,Contains 32% recycled material,Contains up to 32% recycled material,Contains up to 38% recycled material,Contains up to 30% recycled material,Contains up to 60% recycled material,Contains up to 60% recycled material,Contains up to 60% recycled material,Contains up to 60% recycled material,Contains up to 60% recycled material,Contains up to 60% recycled material,Contains up to 60% recycled material
Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable,Packaging is 100% recyclable
Minimized package,Minimized package,Minimized package,Minimized package,Minimized package,Minimized package,Minimized package,Minimized package,Minimized package,Minimized package,Minimized package,Minimized package
,,,,,,,,,,,
Recycling:,Recycling:,Recycling:,Recycling:,Recycling:,Recycling:,Recycling:,Recycling:,Recycling:,Recycling:,Recycling:,Recycling:
,,,,,,,,,,,
All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy,All materials of the device can be recovered as materials and energy
,,,,,,,,,,,
User guide:,User guide:,User guide:,User guide:,User guide:,User guide:,User guide:,User guide:,User guide:,User guide:,User guide:,User guide:
,,,,,,,,,,,
Small printed user guide and full user guide is on nokia.com,Small printed user guide and full user guide is on nokia.com,Small printed user guide and full user guide is on nokia.com,Small printed user guide and full user guide is on nokia.com,Small printed user guide and full user guide is on nokia.com,One colour printing,One colour printing,One colour printing,One colour printing,One colour printing,One colour printing,One colour printing
,,,,,,,,,,,
Energy efficiency:,Energy efficiency:,Energy efficiency:,Energy efficiency:,Energy efficiency:,,Energy efficiency:,Energy efficiency:,Energy efficiency:,Energy efficiency:,Energy efficiency:,Energy efficiency:
,,,,,,,,,,,
Battery Saver feature,Battery Saver feature,Battery Saver feature,Battery Saver feature,Battery Saver feature,,Unplug Charger Reminder,Unplug Charger Reminder,Unplug Charger Reminder,Unplug Charger Reminder,Unplug Charger Reminder,Unplug Charger Reminder
Automatic screen brightness adjustment,Automatic screen brightness adjustment,Automatic screen brightness adjustment,Automatic screen brightness adjustment,Automatic screen brightness adjustment,,,,,,,
,,,,,,,,,,,
Eco content and services:,Eco content and services:,Eco content and services:,Eco content and services:,Eco content and services:,,,,,,,
,,,,,,,,,,,
Available at Store,Available at Store,Available at Store,Available at Google Play Store,Available at Store,,,,,,,
Maps Go for route optimization and pedestrian navigation,Maps Go for route optimization and pedestrian navigation,Maps Go for route optimization and pedestrian navigation,Maps go for route optimization and pedestrian navigation,Maps Go for route optimization and pedestrian navigation,,,,,,,
,,,,,,,,,,,
Materials used,Materials used,Materials used,Materials used,Materials used,Materials used,Materials used,Materials used,Materials used,Materials used,Materials used,Materials used
,,,,,,,,,,,
Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.,Through careful material selection we aim to reduce the environmental impact of our products. The list below shows the estimated proportions of the materials used to create this mobile device.
,,,,,,,,,,,
Metals: 36%,Battery: 28%,Plastics: 35%,Plastics: 32%,Plastics: 37%,Plastics: 48%,Plastics: 44%,Plastics: 44%,Plastics: 48%,Plastics: 48%,Plastics: 44%,Plastics: 44%
Battery: 26%,Plastics: 25%,Battery: 31%,Battery: 31%,Battery: 28%,Battery: 22%,Battery: 27%,Battery: 26%,Battery: 28%,Battery: 28%,Battery: 26%,Battery: 26%
Ceramic materials: 22%,Ceramic materials: 24%,Metals: 17%,Metals: 16%,Metals: 21%,Metals: 22%,Metals: 22%,Metals: 22%,Metals: 17%,Metals: 17%,Metals: 22%,Metals: 22%
Plastics: 14%,Metals: 21%,Ceramic materials: 15%,Ceramic materials: 19%,Ceramic materials: 12%,Ceramic materials: 7%,Ceramic materials: 7%,Ceramic materials: 7%,Ceramic materials: 6%,Ceramic materials: 6%,Ceramic materials: 7%,Ceramic materials: 7%
Other: 2%,Other: 2%,Other: 2%,Other: 2%,Other: 2%,Other: 1%,Other: 1%,Other: 1%,Other: 1%,Other: 1%,Other: 1%,Other: 1%
,,,,,,,,,,,
"Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues.","Metals: E.g. stainless steel, copper, zinc, aluminium. Our products contain ~0.1-0.2% precious metals. Ceramic materials: Glass, other ceramics. Plastics: E.g. ABS/PC, PET, PA, epoxy. Battery: E.g. lithium cobalt compound, graphite, aluminium, copper. Other: Non-metals such as silicon. Other materials such as glues."
,,,,,,,,,,,
Restricted substances,Restricted substances,Restricted substances,Restricted substances,Restricted substances,Restricted substances,Restricted substances,Restricted substances,Restricted substances,Restricted substances,Restricted substances,Restricted substances
,,,,,,,,,,,
"We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products.","We proactively manage and keep track of all the substances in our products, not just those that raise concerns. We have strict requirements for substances that are not allowed in our products."
,,,,,,,,,,,
"This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:","This product fully complies with all relevant global regulations, for example:"
,,,,,,,,,,,
The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU,The EU RoHS Directive 2011/65/EU
?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?,?Management Methods on the Prevention and Control of Pollution caused by Electronic Information Products? commonly known as ?China RoHS?
European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC,European REACH Regulation 1907/2006/EC
The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer,The Montreal Protocol on Substances That Deplete the Ozone Layer
,,,California Proposition 65,,,California Proposition 65,,California Proposition 65,California Proposition 65,,
,,,,,,,,,,,
"Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:","Additionally, we have voluntarily restricted the use of many other harmful substances, and called attention to substances such as skin sensitizers and substances that might cause harm to the environment or to the user during the lifecycle of the product. Some details of such substances for this product are listed below:"
,,,,,,,,,,,
Product does not contain and were not manufactured with Conflict Minerals that were sourced in the Democratic Republic of the Congo or adjoining countries,Products do not contain and were not manufactured with Conflict Minerals that were sourced in the Democratic Republic of the Congo or adjoining countries,Product does not contain and were not manufactured with Conflict Minerals that were sourced in the Democratic Republic of the Congo or adjoining countries,Product does not contain and were not manufactured with Conflict Minerals that were sourced in the Democratic Republic of the Congo or adjoining countries,,Product does not contain and were not manufactured with Conflict Minerals that were sourced in the Democratic Republic of the Congo or adjoining countries,Product does not contain and were not manufactured with Conflict Minerals that were sourced in the Democratic Republic of the Congo or adjoining countries,,Product does not contain and were not manufactured with Conflict Minerals that were sourced in the Democratic Republic of the Congo or adjoining countries,Product does not contain and were not manufactured with Conflict Minerals that were sourced in the Democratic Republic of the Congo or adjoining countries,,
The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free,The surface of this device is nickel-free
This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2016,This product does not contain Brominated or Chlorinated compounds or Antimony trioxide as specified in Nokia Technologies Substance List 2017
Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging,Polyvinylchloride (PVC) is not used in this product or its packaging
,,,,,,,,,,,
Energy consumption2,Energy consumption2,Energy consumption2,Energy consumption2,Energy consumption2,Energy consumption2,Energy consumption2,Energy consumption2,Energy consumption2,Energy consumption2,Energy consumption2,Energy consumption2
,,,,,,,,,,,
Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy,Mobile Device Charger Energy
,,,,,,,,,,,
????,????,????,????,????,????,????,????,????,????,????,????
,,,,,,,,,,,
Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient,Five stars = most energy efficient
,,,,,,,,,,,
voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry,voluntary Agreement EU and Industry
,,,,,,,,,,,
IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1,IPP Project Phase 1
,,,,,,,,,,,
Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD,Manufacturer/Producer: HMD
,,,,,,,,,,,
Model: AD-10W,Model: AD-5W,Model: AD-10W,Model: AD-5W,Model: FC02/AD-5W,Model: AC-18,Model: AC-18,Model: AC-18,Model: AC-18,Model: AC-18,Model: AC-18,Model: AC-18
,,,,,,,,,,,
No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W,No-load consumption: <0.15W
,,,,,,,,,,,
